question,answer
Which steps are needed for filling a claim?,"Firstly, relevant documentation such as the invoice should be kept. Afterwards, you should contact the customer support team, state the reasons for the claim and send the needed documents. The customer support team will reach out with the resolution of the claim as soon as possible."
What is the current status of my order?,"After logging in, you can find a list of your orders in the ''My orders'' section. After you click on a chosen order, you will see its' current status."
How do I cancel an order?,"After you log into your account and go to the ''My orders'' section, you should select the order in question and click on ''Cancel order''. You will be asked for confirmation about the decision. If further assistance is needed, you may contact the customer support team."
How do I download an order's invoice?,"While being logged into your account, you should go to the ''My orders'' section and click on ''Invoice''. The invoice is available as a PDF file."
Which payment methods are available?,"One can make a payment using a credit or debit card (e.g. Visa or Mastercard), by making a bank transfer or by using Google Pay, Apple Pay, or PayPal."
How can I modify the shipping address?,"If you haven't made an order yet, you can navigate to the section called ''My account'', and click on ''Personal information''. You can then edit the shipping address. If you already made an order and the given shipping address is not the correct one, you may contact the customer service team for further assistance."
When can I expect my order to arrive?,"You can view the estimated delivery period for a specific order by finding it in the list shown in the ''My orders'' section and by selecting the said order."
How do I unsubscribe from the newsletter?,"After logging into your account, you can click on ''My account'' and then on ''Newsletter''. The final step is selecting ''Unsubscribe from the newsletter''."
When can the customer support team be contacted?,"The customer support team is reachable 24/7, so everyday at any time."
What should I do if I encounter problems while trying to pay for an order?,"First of all, you should check if the given information about your chosen payment method was typed correctly. If this also fails, you may try another payment method, or contact the payment provider or the customer support team and explain the issue."
How do I update my billing address?,"To update your billing address, log in to your account and navigate to the billing or payment settings section. Locate the billing address details and edit the information as needed. Make sure to save your changes so they apply to future invoices and payments. If you have an ongoing subscription, the updated address will be reflected on upcoming invoices."
What should I do if my order shows as delivered but I did not receive it?,"If your order is marked as delivered but you have not received it, first check with neighbors or others at your address who may have accepted the delivery. Verify the shipping address listed in your order details."
How can I track my shipment?,"You can track your shipment by logging in to your account and going to the 'My orders' section. Select the relevant order to view tracking information and a tracking link provided by the shipping carrier. Tracking updates may take some time to appear after the order has been shipped."
Why was my order canceled automatically?,"An order may be canceled automatically due to payment failure, stock unavailability, or security checks. You can find the cancellation reason in the order details section of your account. If you believe the cancellation was a mistake or need assistance placing a new order, please contact customer support."
How do I apply a discount or promo code?,"To apply a discount or promo code, enter the code during checkout in the designated promo or discount field. Make sure the code is entered exactly as provided and is still valid. The discount will be applied to your total before payment confirmation."
Can I change or cancel my order after placing it?,"Whether you can change or cancel an order depends on its current status. Log in to your account and check the order details in the 'My orders' section. If the order has not yet been processed or shipped, you may see options to modify or cancel it."
How do I request a refund for an order?,"To request a refund, go to the 'My orders' section in your account and select the order you want to return. Follow the instructions to submit a refund or return request. Once approved, refunds are processed to the original payment method and may take several business days to appear."
Why is my refund taking longer than expected?,"Refund processing times can vary depending on the payment method and your bank or card provider. After a refund is approved, it may take several business days for the funds to appear in your account. You can check the refund status in your order details."
What browsers or devices are supported by the application?,"The application supports the latest versions of major browsers such as Chrome, Firefox, Safari, and Edge. It is also compatible with most modern desktop and mobile devices. For the best experience, ensure your browser and operating system are up to date."
How do I change the language of the application?,"You can change the application language by logging in and going to the account or preferences settings. Look for a language or localization option and select your preferred language from the list. The interface will update immediately or after refreshing the page, depending on the platform."
